name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_cpp_crc_ccitt_basic/8",8974760,76.8596,76.8071,ns,,,,,
"BM_cpp_crc_ccitt_basic/16",4700488,152.425,152.266,ns,,,,,
"BM_cpp_crc_ccitt_basic/32",2372453,299.043,298.754,ns,,,,,
"BM_cpp_crc_ccitt_basic/64",1174655,593.16,592.802,ns,,,,,
"BM_cpp_crc_ccitt_basic/128",590435,1181.54,1180.9,ns,,,,,
"BM_cpp_crc_ccitt_basic/256",298531,2348.97,2347.77,ns,,,,,
"BM_cpp_crc_ccitt_basic/512",133559,4683.77,4680.93,ns,,,,,
"BM_cpp_crc_ccitt_basic/1024",74861,9562.96,9557.15,ns,,,,,
"BM_cpp_crc_ccitt_basic/2048",37535,18914.5,18902,ns,,,,,
"BM_cpp_crc_ccitt_basic/4096",18743,37633.6,37609.2,ns,,,,,
"BM_cpp_crc_ccitt_basic/8192",9450,75485.9,75439.2,ns,,,,,
"BM_cpp_crc_ccitt_basic/16384",4697,150286,150195,ns,,,,,
"BM_cpp_crc_ccitt_basic/32768",2188,304612,304415,ns,,,,,
"BM_cpp_crc_ccitt_fast/8",32315576,21.6165,21.5955,ns,,,,,
"BM_cpp_crc_ccitt_fast/16",16251440,42.9589,42.9323,ns,,,,,
"BM_cpp_crc_ccitt_fast/32",8368399,84.2004,84.1447,ns,,,,,
"BM_cpp_crc_ccitt_fast/64",4076937,167.392,167.307,ns,,,,,
"BM_cpp_crc_ccitt_fast/128",1933970,337.085,336.845,ns,,,,,
"BM_cpp_crc_ccitt_fast/256",1055171,682.343,681.993,ns,,,,,
"BM_cpp_crc_ccitt_fast/512",528311,1339.28,1337.84,ns,,,,,
"BM_cpp_crc_ccitt_fast/1024",262754,3361.09,3359.19,ns,,,,,
"BM_cpp_crc_ccitt_fast/2048",107927,6664.71,6660.81,ns,,,,,
"BM_cpp_crc_ccitt_fast/4096",53818,14270.4,14258.5,ns,,,,,
"BM_cpp_crc_ccitt_fast/8192",32430,22292.8,22279,ns,,,,,
"BM_cpp_crc_ccitt_fast/16384",15807,43813.2,43787.5,ns,,,,,
"BM_cpp_crc_ccitt_fast/32768",8008,85959.9,85882.9,ns,,,,,
"BM_boost_ccitt_basic/8",8514216,77.0278,76.9783,ns,,,,,
"BM_boost_ccitt_basic/16",4263439,161.637,161.543,ns,,,,,
"BM_boost_ccitt_basic/32",2138724,328.928,328.724,ns,,,,,
"BM_boost_ccitt_basic/64",1063037,665.061,664.724,ns,,,,,
"BM_boost_ccitt_basic/128",528163,1342.46,1341.49,ns,,,,,
"BM_boost_ccitt_basic/256",263857,2674.95,2673.56,ns,,,,,
"BM_boost_ccitt_basic/512",129246,5328.56,5325.36,ns,,,,,
"BM_boost_ccitt_basic/1024",65702,10896.9,10889.8,ns,,,,,
"BM_boost_ccitt_basic/2048",32948,21495.3,21482.7,ns,,,,,
"BM_boost_ccitt_basic/4096",16257,43036.7,42987.8,ns,,,,,
"BM_boost_ccitt_basic/8192",7956,88037.9,87887.2,ns,,,,,
"BM_boost_ccitt_basic/16384",4004,174285,174088,ns,,,,,
"BM_boost_ccitt_basic/32768",2041,347866,347483,ns,,,,,
"BM_boost_ccitt_optimal/8",90348512,7.89367,7.87971,ns,,,,,
"BM_boost_ccitt_optimal/16",32633960,21.4381,21.4143,ns,,,,,
"BM_boost_ccitt_optimal/32",11709385,60.2697,60.1615,ns,,,,,
"BM_boost_ccitt_optimal/64",4710159,156.604,156.375,ns,,,,,
"BM_boost_ccitt_optimal/128",2167871,348.731,347.679,ns,,,,,
"BM_boost_ccitt_optimal/256",1079888,660.098,659.035,ns,,,,,
"BM_boost_ccitt_optimal/512",540242,1312.88,1309.47,ns,,,,,
"BM_boost_ccitt_optimal/1024",265823,2698.83,2694.69,ns,,,,,
"BM_boost_ccitt_optimal/2048",132585,5374.92,5366.67,ns,,,,,
"BM_boost_ccitt_optimal/4096",67147,10536.9,10520.3,ns,,,,,
"BM_boost_ccitt_optimal/8192",33139,21554.6,21525.5,ns,,,,,
"BM_boost_ccitt_optimal/16384",16346,42605,42534.8,ns,,,,,
"BM_boost_ccitt_optimal/32768",8212,84319,84225.8,ns,,,,,
